stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"77109","MASERONI","44.18372394","10.94413792","0",""
"77110","MASERONI","44.18361588","10.94420473","0",""
"77113","LAGONI","44.18171178","10.93953658","0",""
"77114","LAGONI","44.1816597","10.93962087","0",""
"77117","BORRE","44.17936922","10.93483091","0",""
"77118","BORRE","44.17927281","10.93487467","0",""
"77121","PALAZZO","44.17553521","10.92446327","0",""
"77122","PALAZZO","44.17546825","10.92442982","0",""
"77125","RESILIO","44.17278741","10.91453085","0",""
"77126","RESILIO","44.17271953","10.91455212","0",""
"77129","LA SARACCA","44.17233337","10.90399303","0",""
"77130","LA SARACCA","44.17230734","10.90386711","0",""
"77133","LE FOSSE","44.1721369","10.89974153","0",""
"77134","LE FOSSE","44.17207975","10.89979441","0",""
"77137","LIZZANO PANIGALE","44.16970171","10.89881902","0",""
"77138","LIZZANO PANIGALE","44.16978464","10.89890766","0",""
"77141","LIZZANO DUE CASETTE","44.16597556","10.90038526","0",""
"77142","LIZZANO DUE CASETTE","44.166092","10.90082677","0",""
"77145","LA FONTE","44.15811048","10.8966025","0",""
"77146","LA FONTE","44.1580439","10.89654564","0",""
"77149","LIZZANO BV PIANACCIO","44.15591354","10.89789987","0",""
"77150","LIZZANO BV PIANACCIO","44.15590146","10.89811912","0",""
"77153","LIZZANO C.O.N.I.","44.15967329","10.89374175","0",""
"77154","LIZZANO C.O.N.I.","44.15954365","10.89358518","0",""
"77157","LIZZANO COMUNE","44.16185245","10.89456501","0",""
"77158","LIZZANO COMUNE","44.16311094","10.89400339","0",""
"77161","LIZZANO PINETA","44.16456064","10.89175158","0",""
"77162","LIZZANO PINETA","44.16445364","10.89175599","0",""
"77165","CASA RITA","44.16785888","10.88318746","0",""
"77166","CASA RITA","44.16786004","10.88311713","0",""
"77167","VILLAGGIO EUROPA VIA NAZIONALE","44.17049593","10.88419468","0",""
"77168","VILLAGGIO EUROPA VIA NAZIONALE","44.1704146","10.88414518","0",""
"77169","VILLAGGIO EUROPA","44.17164791","10.88248014","0",""
"77170","VILLAGGIO EUROPA","44.17164567","10.8826161","0",""
"77173","CASELLA","44.16986487","10.88216463","0",""
"77174","CASELLA","44.16979712","10.88217811","0",""
"77175","MAENZANO CHIESA","44.16854635","10.87974693","0",""
"77176","MAENZANO CHIESA","44.16858821","10.87987022","0",""
"77177","MAENZANO","44.16732764","10.87892101","0",""
"77178","MAENZANO","44.16725196","10.87904056","0",""
"77181","APPENNINO","44.16887672","10.87673124","0",""
"77182","APPENNINO","44.16884503","10.87660515","0",""
"77185","VIDICIATICO","44.17078118","10.87314852","0",""
"77186","VIDICIATICO","44.17037058","10.87416747","0",""
"77189","LA CASCATA","44.17335031","10.8667642","0",""
"77190","LA CASCATA","44.17335031","10.8666266","0",""
"77193","PRESIOLO","44.17545729","10.86781582","0",""
"77194","PRESIOLO","44.17545307","10.8677297","0",""
"77197","VIDICIATICO BV FARNE`","44.1788308","10.87045256","0",""
"77198","VIDICIATICO BV FARNE`","44.1785175","10.86992973","0",""
"77201","MASERA BIVIO","44.18496511","10.87667092","0",""
"77202","MASERA BIVIO","44.18503744","10.87672013","0",""
"77205","CA` DEL FRABETTO","44.18799451","10.88371919","0",""
"77206","CA` DEL FRABETTO","44.1880022","10.88359431","0",""
"77209","POGGIOLO","44.19131381","10.88545944","0",""
"77210","POGGIOLO","44.19128749","10.88534911","0",""
"77213","QUERCIOLA CHIESA","44.19312682","10.88654806","0",""
"77214","QUERCIOLA CHIESA","44.1929816","10.88634634","0",""
"77216","QUERCIOLA CHIESA","44.19334952","10.886283","0",""
"77217","BUIO","44.19525732","10.87903113","0",""
"77218","BUIO","44.1952899","10.87910257","0",""
"77221","ROCCA CORNETA LE VIGNE","44.19538933","10.87219186","0",""
"77222","ROCCA CORNETA LE VIGNE","44.19531085","10.87217373","0",""
"77225","ROCCA CORNETA PIANELLA","44.19857761","10.86699765","0",""
"77226","ROCCA CORNETA PIANELLA","44.19853428","10.86689461","0",""
"77229","ROCCA CORNETA","44.20301712","10.86562824","0",""
"77230","ROCCA CORNETA","44.20293889","10.86559448","0",""
"77233","ROCCA CORNETA LA ROVINA","44.20477983","10.8650886","0",""
"77234","ROCCA CORNETA LA ROVINA","44.20470691","10.86507457","0",""
"77237","CASA BERNARDINI","44.20707488","10.86247865","0",""
"77238","CASA BERNARDINI","44.20699627","10.86246836","0",""
"77241","CA` DI CHECCO","44.20863645","10.86022794","0",""
"77242","CA` DI CHECCO","44.20868297","10.86013553","0",""
"77245","CAMPOGARUGLIO","44.21158319","10.86050849","0",""
"77246","CAMPOGARUGLIO","44.21156286","10.86037486","0",""
"77249","PONTE DI CASTELLO","44.21496437","10.86054458","0",""
"77250","PONTE DI CASTELLO","44.21488551","10.8605499","0",""
"77253","PEDENA","44.21743126","10.85677285","0",""
"77254","PEDENA","44.21741029","10.8566783","0",""
"77257","DARDAGNA","44.22291938","10.85405804","0",""
"77258","DARDAGNA","44.22283514","10.85404759","0",""
"77261","MULINO DELLA PIANA","44.22556015","10.84856947","0",""
"77262","MULINO DELLA PIANA","44.22552779","10.84848239","0",""
"77265","TRIGNANO BOSCO","44.22687773","10.84120017","0",""
"77266","TRIGNANO BOSCO","44.22681062","10.84117459","0",""
"77269","CASE GALLETTI","44.22627783","10.83389617","0",""
"77270","CASE GALLETTI","44.22620471","10.8338939","0",""
"77273","TRIGNANO BIVIO","44.22371702","10.8317235","0",""
"77274","TRIGNANO BIVIO","44.2235611","10.83179691","0",""
"77277","CA` PEDRONI","44.22229866","10.8271803","0",""
"77278","CA` PEDRONI","44.22215463","10.82739103","0",""
"77281","CA` NADALINO","44.22104736","10.82054943","0",""
"77282","CA` NADALINO","44.22085052","10.82054336","0",""
"77285","PONTE LEO","44.21946271","10.81670578","0",""
"77286","PONTE LEO","44.21946706","10.81643207","0",""
"77289","CASA GORZANELLI","44.21865031","10.81132442","0",""
"77290","CASA GORZANELLI","44.21852047","10.81137591","0",""
"77293","FANANO BV TRENTINO","44.21868545","10.80852826","0",""
"77294","FANANO BV TRENTINO","44.21865652","10.80815181","0",""
"77297","FANANO SANTA CROCE","44.21735696","10.80272596","0",""
"77298","FANANO SANTA CROCE","44.21724353","10.80271075","0",""
"77301","FANANO ZONA ARTIGIANALE","44.21229831","10.79962609","0",""
"77302","FANANO ZONA ARTIGIANALE","44.21218213","10.79985726","0",""
"77305","FANANO BIVIO OSPITALE","44.20715245","10.79677052","0",""
"77306","FANANO BIVIO OSPITALE","44.207135","10.79698512","0",""
"77310","FANANO","44.20856494","10.79511592","0",""
"77401","CA` MARCACCI","44.17229038","10.85947559","0",""
"77402","CA` MARCACCI","44.17218915","10.85947241","0",""
"77405","CROCE DI GOCCHIA","44.17206166","10.85606756","0",""
"77406","CROCE DI GOCCHIA","44.17198855","10.85606527","0",""
"77409","LA CA`","44.17171687","10.85148321","0",""
"77410","LA CA`","44.17159788","10.85153422","0",""
"77451","LE FRASCARE","44.17066645","10.84685344","0",""
"77452","LE FRASCARE","44.17072818","10.84686319","0",""
"77455","TORLAINO","44.17121553","10.8412495","0",""
"77456","TORLAINO","44.17116991","10.84128716","0",""
"77459","CA` GIANINONI","44.16379208","10.83522614","0",""
"77460","CA` GIANINONI","44.16374608","10.83528725","0",""
"77463","CA` BERNA","44.15970316","10.83720977","0",""
"77464","CA` BERNA","44.15972439","10.8372886","0",""
"77467","RIO RI","44.15306581","10.84104051","0",""
"77468","RIO RI","44.15292155","10.84129783","0",""
"77471","MADONNA DELL`ACERO","44.1494599","10.82453631","0",""
"77472","MADONNA DELL`ACERO","44.1493629","10.82461927","0",""
"77475","CAVONE LAGHETTO","44.13362573","10.82153278","0",""
"77476","CAVONE LAGHETTO","44.13360049","10.82170389","0",""
"77480","CORNO ALLE SCALE","44.13265978","10.81416682","0",""
"77502","VILLA MARISA","44.1727665","10.8485175","0",""
"77505","CA` TONIELLI BIVIO","44.17332353","10.84260042","0",""
"77506","CA` TONIELLI BIVIO","44.17327738","10.84260132","0",""
"77509","CATINELLE","44.17007207","10.83327886","0",""
"77510","CATINELLE","44.17000345","10.8333471","0",""
"77514","POGGIOLFORATO","44.16730675","10.83185641","0",""
"77551","CASA CORRIERI","44.17466147","10.84772872","0",""
"77555","LE BORELLE","44.17528326","10.84668484","0",""
"77559","CA` TONIELLI","44.17511022","10.84321978","0",""
"77563","CASA VIGHI","44.17846934","10.84434482","0",""
"77567","CHIESINA FARNE`","44.18152293","10.84759123","0",""
"77571","SASSADELLO","44.18340481","10.85351468","0",""
"77575","TERRA ROSSA","44.18086073","10.85892402","0",""
"77601","LIZZANO BIVIO","44.1549737","10.897604","0",""
"77602","LIZZANO BIVIO","44.15496103","10.89768958","0",""
"77605","LIZZANO BIVIO CASALE","44.15260174","10.89829388","0",""
"77606","LIZZANO BIVIO CASALE","44.15261182","10.89836456","0",""
"77609","PORCHIA","44.14883698","10.8972979","0",""
"77610","PORCHIA","44.14880207","10.89736712","0",""
"77613","PIANACCIO BV MONTEACUTO","44.13940193","10.88549383","0",""
"77614","PIANACCIO BV MONTEACUTO","44.13928475","10.88543463","0",""
"77617","PIANACCIO BORELLA","44.135281","10.87570557","0",""
"77618","PIANACCIO BORELLA","44.13524189","10.8756887","0",""
"77622","PIANACCIO","44.13578603","10.87438472","0",""
"77647","TEGGIE","44.13617462","10.88738271","0",""
"77648","TEGGIE","44.13624249","10.88736143","0",""
"77652","MONTEACUTO","44.13699934","10.89008196","0",""
"77700","MARZABOTTO Z.I.","44.35343923","11.20718169","0",""
"77701","PANICO","44.35610436","11.20749745","0",""
"77704","ZONA INDUSTRIALE SASSATELLO","44.34879442","11.20674068","0",""
